gidx,gap,origin,mergeCount
657,4,copy,0
658,2,copy,0
659,6,copy,0
660,10,copy,0
661,8,copy,0
662,4,copy,0
663,2,copy,0
664,4,copy,0
665,2,copy,0
666,4,copy,0
667,8,copy,0
668,10,copy,0
669,8,merge,1
670,4,copy,0
671,8,copy,0
672,6,copy,0
673,10,merge,1
674,2,copy,0
675,4,copy,0
676,6,copy,0
677,2,copy,0
678,6,copy,0
679,4,copy,0
680,6,copy,0
681,2,copy,0
682,10,copy,0
683,2,copy,0
684,10,copy,0
685,2,copy,0
686,4,copy,0
687,2,copy,0
688,4,copy,0
689,6,copy,0
690,8,merge,1
691,4,copy,0
692,2,copy,0
693,4,copy,0
694,6,copy,0
695,6,copy,0
696,2,copy,0
697,6,copy,0
698,6,copy,0
699,6,copy,0
700,10,merge,1
701,8,copy,0
702,4,copy,0
703,2,copy,0
704,4,copy,0
705,6,merge,1
706,8,copy,0
707,6,copy,0
708,4,copy,0
709,8,copy,0
710,4,copy,0
711,6,copy,0
712,2,copy,0
713,6,copy,0
714,6,copy,0
715,4,copy,0
716,2,copy,0
717,4,copy,0
718,6,copy,0
719,12,merge,1
720,2,copy,0
721,4,copy,0
722,2,copy,0
723,10,copy,0
724,2,copy,0
725,10,copy,0
726,2,copy,0
727,4,copy,0
728,2,copy,0
729,4,copy,0
730,8,merge,1
731,10,copy,0
732,2,copy,0
733,4,copy,0
734,6,copy,0
735,8,copy,0
736,6,copy,0
737,4,copy,0
738,2,copy,0
739,6,copy,0
740,4,copy,0
741,6,copy,0
742,8,copy,0
743,4,copy,0
744,8,merge,1
745,4,copy,0
746,8,copy,0
747,6,copy,0
748,4,copy,0
749,6,copy,0
750,2,copy,0
751,4,copy,0
752,6,copy,0
753,2,copy,0
754,6,copy,0
755,6,copy,0
756,4,copy,0
757,6,copy,0
758,6,copy,0
759,2,copy,0
760,6,copy,0
761,6,copy,0
762,4,copy,0
763,2,copy,0
764,10,copy,0
765,12,merge,1
766,2,copy,0
767,4,copy,0
768,2,copy,0
769,4,copy,0
770,6,copy,0
771,2,copy,0
772,6,copy,0
773,4,copy,0
774,2,copy,0
775,16,merge,1
776,2,copy,0
777,6,copy,0
778,4,copy,0
779,2,copy,0
780,10,merge,1
781,6,copy,0
782,8,copy,0
783,4,copy,0
784,2,copy,0
785,4,copy,0
786,2,copy,0
787,12,copy,0
788,6,copy,0
789,10,merge,1
790,2,copy,0
791,4,copy,0
792,6,copy,0
793,2,copy,0
794,12,copy,0
795,4,copy,0
796,2,copy,0
797,4,copy,0
798,8,copy,0
799,6,copy,0
800,4,copy,0
801,2,copy,0
802,4,copy,0
803,2,copy,0
804,12,merge,1
805,10,copy,0
806,6,copy,0
807,2,copy,0
808,4,copy,0
809,6,copy,0
810,2,copy,0
811,6,copy,0
812,4,copy,0
813,2,copy,0
814,4,copy,0
815,6,copy,0
816,6,copy,0
817,2,copy,0
818,6,copy,0
819,4,copy,0
820,2,copy,0
821,10,copy,0
822,6,copy,0
823,8,copy,0
824,10,merge,1
825,2,copy,0
826,4,copy,0
827,8,copy,0
828,6,copy,0
829,4,copy,0
830,6,copy,0
831,2,copy,0
832,4,copy,0
833,6,copy,0
834,2,copy,0
835,6,copy,0
836,6,copy,0
837,6,copy,0
838,4,copy,0
839,6,copy,0
840,8,merge,1
841,4,copy,0
842,2,copy,0
843,4,copy,0
844,2,copy,0
845,10,copy,0
846,12,copy,0
847,2,copy,0
848,4,copy,0
849,2,copy,0
850,10,copy,0
851,2,copy,0
852,6,copy,0
853,4,copy,0
854,2,copy,0
855,4,copy,0
856,6,copy,0
857,6,copy,0
858,2,copy,0
859,10,copy,0
860,2,copy,0
861,6,copy,0
862,4,copy,0
863,14,copy,0
864,6,merge,1
865,4,copy,0
866,2,copy,0
867,4,copy,0
868,8,copy,0
869,10,merge,1
870,6,copy,0
871,2,copy,0
872,4,copy,0
873,6,copy,0
874,2,copy,0
875,6,copy,0
876,6,copy,0
877,4,copy,0
878,2,copy,0
879,4,copy,0
880,8,merge,1
881,6,copy,0
882,4,copy,0
883,2,copy,0
884,4,copy,0
885,12,copy,0
886,2,copy,0
887,12,copy,0
888,4,copy,0
889,2,copy,0
890,4,copy,0
891,6,copy,0
892,2,copy,0
893,6,copy,0
894,4,copy,0
895,2,copy,0
896,10,merge,1
897,6,copy,0
898,2,copy,0
899,6,copy,0
900,4,copy,0
901,8,merge,1
902,4,copy,0
903,6,copy,0
904,8,copy,0
905,4,copy,0
906,2,copy,0
907,4,copy,0
908,2,copy,0
909,4,copy,0
910,14,copy,0
911,4,copy,0
912,6,copy,0
913,2,copy,0
914,10,copy,0
915,8,merge,1
916,6,copy,0
917,4,copy,0
918,2,copy,0
919,4,copy,0
920,6,copy,0
921,2,copy,0
922,10,copy,0
923,2,copy,0
924,4,copy,0
925,2,copy,0
926,12,copy,0
927,10,copy,0
928,2,copy,0
929,4,copy,0
930,6,merge,1
931,6,copy,0
932,2,copy,0
933,6,copy,0
934,4,copy,0
935,6,copy,0
936,6,copy,0
937,6,copy,0
938,2,copy,0
939,6,copy,0
940,6,merge,1
941,6,copy,0
942,4,copy,0
943,6,copy,0
944,12,merge,1
945,2,copy,0
946,4,copy,0
947,6,copy,0
948,8,copy,0
949,6,copy,0
950,10,copy,0
951,2,copy,0
952,4,copy,0
953,8,merge,1
954,6,copy,0
955,6,copy,0
956,4,copy,0
957,2,copy,0
958,4,copy,0
959,6,copy,0
960,2,copy,0
961,6,copy,0
962,4,copy,0
963,2,copy,0
964,6,copy,0
965,10,copy,0
966,2,copy,0
967,10,copy,0
968,2,copy,0
969,6,merge,1
970,4,copy,0
971,6,copy,0
972,8,copy,0
973,4,copy,0
974,6,merge,1
975,12,copy,0
976,2,copy,0
977,6,copy,0
978,4,copy,0
979,2,copy,0
980,6,copy,0
981,4,copy,0
982,6,copy,0
983,12,copy,0
984,2,copy,0
985,4,copy,0
986,2,copy,0
987,4,copy,0
988,14,merge,1
989,4,copy,0
990,6,copy,0
991,2,copy,0
992,4,copy,0
993,6,copy,0
994,2,copy,0
995,6,copy,0
996,10,copy,0
997,2,copy,0
998,10,merge,1
999,2,copy,0
