stage_index,head,gap_index,gap,survivor
7,19,34,10,191
7,19,35,2,193
7,19,36,4,197
7,19,37,2,199
7,19,38,12,211
7,19,39,12,223
7,19,40,4,227
7,19,41,2,229
7,19,42,4,233
7,19,43,6,239
7,19,44,2,241
7,19,45,10,251
7,19,46,6,257
7,19,47,6,263
7,19,48,6,269
7,19,49,2,271
7,19,50,6,277
7,19,51,4,281
7,19,52,2,283
7,19,53,10,293
7,19,54,14,307
7,19,55,4,311
7,19,56,2,313
7,19,57,4,317
7,19,58,14,331
7,19,59,6,337
7,19,60,10,347
7,19,61,2,349
7,19,62,4,353
7,19,63,6,359
7,19,64,2,361
7,19,65,6,367
7,19,66,6,373
7,19,67,6,379
7,19,68,4,383
7,19,69,6,389
7,19,70,8,397
7,19,71,4,401
7,19,72,8,409
7,19,73,10,419
7,19,74,2,421
7,19,75,10,431
7,19,76,2,433
7,19,77,4,437
7,19,78,2,439
7,19,79,4,443
7,19,80,6,449
7,19,81,8,457
7,19,82,4,461
7,19,83,2,463
7,19,84,4,467
7,19,85,12,479
7,19,86,8,487
7,19,87,4,491
7,19,88,8,499
7,19,89,4,503
7,19,90,6,509
7,19,91,12,521
7,19,92,2,523
7,19,93,6,529
7,19,94,12,541
7,19,95,6,547
7,19,96,4,551
7,19,97,6,557
7,19,98,6,563
7,19,99,6,569
8,23,0,6,29
8,23,1,2,31
8,23,2,6,37
8,23,3,4,41
8,23,4,2,43
8,23,5,4,47
8,23,6,6,53
8,23,7,6,59
8,23,8,2,61
8,23,9,6,67
8,23,10,4,71
8,23,11,2,73
8,23,12,6,79
8,23,13,4,83
8,23,14,6,89
8,23,15,8,97
8,23,16,4,101
8,23,17,2,103
8,23,18,4,107
8,23,19,2,109
8,23,20,4,113
8,23,21,14,127
8,23,22,4,131
8,23,23,6,137
8,23,24,2,139
8,23,25,10,149
8,23,26,2,151
8,23,27,6,157
8,23,28,6,163
8,23,29,4,167
8,23,30,6,173
8,23,31,6,179
8,23,32,2,181
8,23,33,10,191
8,23,34,2,193
8,23,35,4,197
8,23,36,2,199
8,23,37,12,211
8,23,38,12,223
8,23,39,4,227
8,23,40,2,229
8,23,41,4,233
8,23,42,6,239
8,23,43,2,241
8,23,44,10,251
8,23,45,6,257
8,23,46,6,263
8,23,47,6,269
8,23,48,2,271
8,23,49,6,277
8,23,50,4,281
8,23,51,2,283
8,23,52,10,293
8,23,53,14,307
8,23,54,4,311
8,23,55,2,313
8,23,56,4,317
8,23,57,14,331
8,23,58,6,337
8,23,59,10,347
8,23,60,2,349
8,23,61,4,353
8,23,62,6,359
8,23,63,8,367
8,23,64,6,373
8,23,65,6,379
8,23,66,4,383
8,23,67,6,389
8,23,68,8,397
8,23,69,4,401
8,23,70,8,409
8,23,71,10,419
8,23,72,2,421
8,23,73,10,431
8,23,74,2,433
8,23,75,6,439
8,23,76,4,443
8,23,77,6,449
8,23,78,8,457
8,23,79,4,461
8,23,80,2,463
8,23,81,4,467
8,23,82,12,479
8,23,83,8,487
8,23,84,4,491
8,23,85,8,499
8,23,86,4,503
8,23,87,6,509
8,23,88,12,521
8,23,89,2,523
8,23,90,6,529
8,23,91,12,541
8,23,92,6,547
8,23,93,10,557
8,23,94,6,563
8,23,95,6,569
8,23,96,2,571
8,23,97,6,577
8,23,98,10,587
8,23,99,6,593
9,29,0,2,31
9,29,1,6,37
9,29,2,4,41
9,29,3,2,43
9,29,4,4,47
9,29,5,6,53
9,29,6,6,59
9,29,7,2,61
9,29,8,6,67
9,29,9,4,71
9,29,10,2,73
9,29,11,6,79
9,29,12,4,83
9,29,13,6,89
9,29,14,8,97
9,29,15,4,101
9,29,16,2,103
9,29,17,4,107
9,29,18,2,109
9,29,19,4,113
9,29,20,14,127
9,29,21,4,131
9,29,22,6,137
9,29,23,2,139
9,29,24,10,149
9,29,25,2,151
9,29,26,6,157
9,29,27,6,163
9,29,28,4,167
9,29,29,6,173
9,29,30,6,179
9,29,31,2,181
9,29,32,10,191
9,29,33,2,193
9,29,34,4,197
9,29,35,2,199
9,29,36,12,211
9,29,37,12,223
9,29,38,4,227
9,29,39,2,229
9,29,40,4,233
9,29,41,6,239
9,29,42,2,241
9,29,43,10,251
9,29,44,6,257
9,29,45,6,263
9,29,46,6,269
9,29,47,2,271
9,29,48,6,277
9,29,49,4,281
9,29,50,2,283
9,29,51,10,293
9,29,52,14,307
9,29,53,4,311
9,29,54,2,313
9,29,55,4,317
9,29,56,14,331
9,29,57,6,337
9,29,58,10,347
9,29,59,2,349
9,29,60,4,353
9,29,61,6,359
9,29,62,8,367
9,29,63,6,373
9,29,64,6,379
9,29,65,4,383
9,29,66,6,389
9,29,67,8,397
9,29,68,4,401
9,29,69,8,409
9,29,70,10,419
9,29,71,2,421
9,29,72,10,431
9,29,73,2,433
9,29,74,6,439
9,29,75,4,443
9,29,76,6,449
9,29,77,8,457
9,29,78,4,461
9,29,79,2,463
9,29,80,4,467
9,29,81,12,479
9,29,82,8,487
9,29,83,4,491
9,29,84,8,499
9,29,85,4,503
9,29,86,6,509
9,29,87,12,521
9,29,88,2,523
9,29,89,18,541
9,29,90,6,547
9,29,91,10,557
9,29,92,6,563
9,29,93,6,569
9,29,94,2,571
9,29,95,6,577
9,29,96,10,587
9,29,97,6,593
9,29,98,6,599
9,29,99,2,601
10,31,0,6,37
10,31,1,4,41
10,31,2,2,43
10,31,3,4,47
10,31,4,6,53
10,31,5,6,59
10,31,6,2,61
10,31,7,6,67
10,31,8,4,71
10,31,9,2,73
10,31,10,6,79
10,31,11,4,83
10,31,12,6,89
10,31,13,8,97
10,31,14,4,101
10,31,15,2,103
10,31,16,4,107
10,31,17,2,109
10,31,18,4,113
10,31,19,14,127
10,31,20,4,131
10,31,21,6,137
10,31,22,2,139
10,31,23,10,149
10,31,24,2,151
10,31,25,6,157
10,31,26,6,163
10,31,27,4,167
10,31,28,6,173
10,31,29,6,179
10,31,30,2,181
10,31,31,10,191
10,31,32,2,193
10,31,33,4,197
10,31,34,2,199
10,31,35,12,211
10,31,36,12,223
10,31,37,4,227
10,31,38,2,229
10,31,39,4,233
10,31,40,6,239
10,31,41,2,241
10,31,42,10,251
10,31,43,6,257
10,31,44,6,263
10,31,45,6,269
10,31,46,2,271
10,31,47,6,277
10,31,48,4,281
10,31,49,2,283
10,31,50,10,293
10,31,51,14,307
10,31,52,4,311
10,31,53,2,313
10,31,54,4,317
10,31,55,14,331
10,31,56,6,337
10,31,57,10,347
