Q,layer,r,L_initial,L_before,destroyed,L_after,f_real,f_random,w_real,h_real,h_random,D_real,D_random,excess_hazard,c_eff,survival_real,survival_random
251,22,89,31374,1182,31,1151,0.02622673434856176,0.02247191011235955,1.1670896785109983,0.026576789244160813,0.022728251077556175,3.3053483946943025,3.2415485546179417,0.06379984007636086,0.007106817619107797,0.03668642825269331,0.039103294602074734
251,23,97,31374,1151,26,1125,0.022589052997393572,0.020618556701030927,1.0955690703735883,0.022848094083362122,0.020834086902842025,3.3281964887776647,3.2623826415207837,0.065813847256881,0.007193224617483049,0.03585771658060815,0.03829704110512474
251,24,101,31374,1125,30,1095,0.02666666666666667,0.019801980198019802,1.3466666666666667,0.02702867238791926,0.020000666706669543,3.355225161165584,3.282383308227453,0.07284185293813072,0.00789165230597121,0.03490151080512526,0.037538683855518305
251,25,103,31374,1095,25,1070,0.0228310502283105,0.019417475728155338,1.1757990867579908,0.023095714794649395,0.019608471388376313,3.3783208759602332,3.3019917796158293,0.07632909634440388,0.008234472451166978,0.03410467265888953,0.03680977737288689
251,26,107,31374,1070,19,1051,0.017757009345794394,0.018691588785046728,0.9500000000000002,0.017916556579000723,0.018868484304382805,3.396237432539234,3.320860263920212,0.07537716861902188,0.00806547503549869,0.033499075667750365,0.036121744150963774
251,27,109,31374,1051,26,1025,0.024738344433872503,0.01834862385321101,1.3482397716460512,0.02504947930444253,0.018519047767237527,3.4212869118436764,3.3393793116874497,0.08190760015622667,0.00872964467914362,0.032670363995665204,0.03545895985461581
251,28,113,31374,1025,19,1006,0.018536585365853658,0.017699115044247787,1.0473170731707317,0.018710540912824054,0.01785761740000646,3.4399974527565003,3.357236929087456,0.08276052366904407,0.008753303816269787,0.03206476700452604,0.0348313676447996
251,29,127,31374,1006,19,987,0.018886679920477135,0.015748031496062992,1.1993041749502982,0.019067311226202897,0.01587334915629012,3.459064763982703,3.3731102782437463,0.0859544857389567,0.008871920531231474,0.03145917001338688,0.03428284217007835
251,30,131,31374,987,13,974,0.013171225937183385,0.015267175572519083,0.8627152988855117,0.013258735790946437,0.015384918839479456,3.4723234997736494,3.388495197083226,0.0838283026904234,0.00859742664071083,0.0310448141773443,0.03375943999954279
251,31,137,31374,974,13,961,0.013347022587268994,0.014598540145985401,0.9142710472279261,0.013436894672242556,0.014706147389695449,3.485760394445892,3.4032013444729214,0.08255904997297048,0.008390179882564712,0.030630458341301715,0.03326660145940348
251,32,139,31374,961,14,947,0.014568158168574402,0.014388489208633094,1.0124869927159208,0.014675315784214221,0.014493007302566864,3.5004357102301062,3.4176943517754883,0.08274135845461794,0.008384010086574968,0.030184228979409703,0.03278794532329696
251,33,149,31374,947,15,932,0.01583949313621964,0.013422818791946308,1.180042238648363,0.015966278500487104,0.01351371916672282,3.5164019887305935,3.431208070942211,0.08519391778838248,0.00851267305637942,0.02970612609166826,0.0323478386746621
251,34,151,31374,932,15,917,0.016094420600858368,0.013245033112582781,1.2151287553648067,0.016225342429126384,0.013333530869465144,3.53262733115972,3.444541601811676,0.0880857293480437,0.008778235638931632,0.02922802320392682,0.03191939048029572
251,35,157,31374,917,15,902,0.016357688113413305,0.012738853503184714,1.2840785169029445,0.016492952193841205,0.012820688429061434,3.549120283353561,3.4573622902407375,0.0917579931128234,0.009073727489253511,0.028749920316185375,0.031512774041056284
251,36,163,31374,902,10,892,0.011086474501108648,0.012269938650306749,0.9035476718403548,0.0111483874826143,0.012345835822299379,3.5602686708361753,3.4697081260630367,0.09056054477313857,0.008889378277599414,0.028431185057691082,0.03112611423687155
251,37,167,31374,892,9,883,0.010089686098654708,0.011976047904191617,0.8424887892376681,0.010140931976049337,0.01204833851617448,3.5704096028122247,3.481756464579211,0.0886531382330138,0.008660926671885826,0.028144323325046218,0.030753346401699442
251,38,173,31374,883,9,874,0.010192525481313703,0.011560693641618497,0.8816534541336354,0.010244824948424514,0.011628037995119099,3.580654427760649,3.49338450257433,0.08726992518631915,0.008467396380160024,0.02785746159240135,0.030397816385494828
251,39,179,31374,874,7,867,0.008009153318077803,0.0111731843575419,0.7168192219679634,0.008041398874993638,0.011236073266925842,3.5886958266356426,3.5046205758412556,0.08407525079438694,0.008103817022798084,0.027634346911455346,0.03005817597895299
251,40,181,31374,867,5,862,0.0057670126874279125,0.011049723756906077,0.5219146482122261,0.005783706116848806,0.011111225425070722,3.594479532752491,3.5157318012663263,0.07874773148616487,0.007574086415029646,0.027474979282208198,0.029726041437749092
251,41,191,31374,862,6,856,0.0069605568445475635,0.010471204188481676,0.6647331786542923,0.006984894521950982,0.010526412986987504,3.601464427274442,3.5262582142533136,0.0752062130211284,0.0071593962168396,0.02728373812711162,0.02941477398813916
251,42,193,31374,856,6,850,0.007009345794392523,0.010362694300518135,0.6764018691588785,0.007034026657379936,0.010416760858255715,3.608498453931822,3.5366749751115694,0.07182347882025253,0.0068238368821021455,0.027092496972015045,0.02910995767738124
251,43,197,31374,850,3,847,0.0035294117647058825,0.01015228426395939,0.3476470588235295,0.0035356548323077553,0.010204170174241736,3.6120341087641297,3.546879145285811,0.06515496347831862,0.0061662361347063115,0.026996876394466757,0.028814425112128637
251,44,199,31374,847,6,841,0.0070838252656434475,0.010050251256281407,0.704840613931523,0.007109034679106331,0.010101095986503933,3.619143143443236,3.556980241272315,0.06216290217092135,0.005871842282780005,0.026805635239370178,0.028524832899946444
251,45,211,31374,841,5,836,0.005945303210463734,0.009478672985781991,0.6272294887039239,0.005963046888246413,0.009523881511255479,3.6251061903314827,3.56650412278357,0.05860206754791264,0.005474927220263424,0.026646267610123033,0.028254455336913783
251,46,223,31374,836,3,833,0.0035885167464114833,0.008968609865470852,0.4001196172248804,0.0035949709178589233,0.009009069942365968,3.628701161249342,3.575513192725936,0.05318796852340579,0.004918279904121046,0.026550647032574745,0.02800105215003563
251,47,227,31374,833,6,827,0.007202881152460984,0.00881057268722467,0.8175270108043217,0.00722894714315143,0.0088496152769825,3.6359301083924933,3.5843628080029184,0.05156730038957491,0.004752790368888564,0.026359405877478165,0.02775434684474898
251,48,229,31374,827,3,824,0.0036275695284159614,0.008733624454148471,0.4153567110036276,0.0036341651142195734,0.008771986072836994,3.639564273506713,3.5931347940757554,0.04642947943095743,0.004272345861693656,0.026263785299929877,0.02751195080243676
251,49,233,31374,824,3,821,0.0036407766990291263,0.008583690987124463,0.4241504854368932,0.0036474204570435317,0.008620743043906975,3.643211693963756,3.6017555371196623,0.04145615684409387,0.003802592588296278,0.02616816472238159,0.027275796718295674
251,50,239,31374,821,2,819,0.00243605359317905,0.008368200836820083,0.2911084043848965,0.002439025599358747,0.008403410796379504,3.645650719563115,3.610158947916042,0.03549177164707329,0.003240391478051158,0.02610441767068273,0.0270475473733727
251,51,241,31374,819,1,818,0.001221001221001221,0.008298755186721992,0.14713064713064714,0.0012217472503223644,0.0083333815591443,3.6468724668134374,3.618492329475186,0.028380137338251288,0.002587163908016326,0.0260725441448333,0.026823086399319816
