Q,prime_index,cumsum_c0_0,cumsum_c0_1,cumsum_c0_3,cumsum_c0_5,cumsum_c0_7,cumsum_c1_0
103,26,3.249778366465841,2.0071412296627797,0.8914930810508667,0.4579358236134478,0.25623622345622643,0.11665766401028109
113,29,3.385758532855273,2.0602916071710857,0.8996138005232956,0.4591766699449193,0.2564258402066811,0.11666899272024306
127,30,3.428373110137979,2.0764648624161506,0.9019433715282991,0.45951221779753904,0.25647417200732414,0.1166716348293188
139,33,3.55282838639755,2.123085089341143,0.9084856645935045,0.4604304032805261,0.25660304914543614,0.11667841325709727
157,36,3.6716052972039597,2.166557699333516,0.9143094927612416,0.46121065583156495,0.25670759227075585,0.1166835412638882
173,39,3.785979022041884,2.2076242604208423,0.9196042189875403,0.46189337165475813,0.25679563177884174,0.1166876189240347
191,42,3.89639476262093,2.2465550783198522,0.924444381600048,0.46249521180943615,0.25687047573316846,0.11669090192519294
211,46,4.038931017612077,2.2959648135004755,0.9303824215560682,0.46320896490344615,0.2569562834569859,0.11669447983962226
229,49,4.140981716181487,2.3304693774373333,0.9343270312759849,0.46365992700856745,0.25700784009421274,0.11669647288596627
257,54,4.306449768717836,2.3855842629194632,0.9404426828249327,0.4643386648145488,0.2570831837152547,0.116699260431665
281,59,4.465540119029459,2.437429684108057,0.9459491274413632,0.46492354798412894,0.2571453140878298,0.11670141185341011
311,63,4.588754694228751,2.476856346627355,0.9499866969501125,0.46533711806471145,0.25718768595440894,0.11670280198907464
347,68,4.737646560593099,2.5235816229720545,0.9545891552335667,0.4657905679755195,0.2572323718149179,0.11670418498524428
379,74,4.910322627132033,2.576699580536895,0.9596161060030153,0.46626637144307953,0.2572774130405538,0.11670549717212463
419,80,5.077548511269223,2.6271699478768142,0.9642138929969895,0.4666852836762087,0.2573155862695022,0.11670654750733961
463,89,5.319787172844326,2.698754967106004,0.9704660437052711,0.46723142288825054,0.25736330006744484,0.11670777998808342
521,97,5.527718599082721,2.7588961556543876,0.9754979353963963,0.4676525029669722,0.2573985430246518,0.11670863362503547
569,103,5.678442816918129,2.801571079715216,0.9789192525216623,0.46792683026620485,0.25742054188423086,0.11670913331602585
631,114,5.947117611361797,2.876296364246928,0.9847001305702419,0.468374110845949,0.2574551538604706,0.11670987857787518
701,125,6.20738497426127,2.9472140357407004,0.9899659605216963,0.468765164330626,0.25748419824970353,0.11671046661849183
769,135,6.436447110380842,3.008316777335404,0.9943141373899188,0.46907461830493186,0.2575062238298466,0.11671088493402172
853,146,6.681264140034344,3.072383023996104,0.9987019039064937,0.46937516349189273,0.2575268124985991,0.1167112541702471
941,159,6.962614783153337,3.144633657172709,1.003467104133297,0.4696894964182384,0.25754755053686895,0.11671160570115158
1039,174,7.277319961835067,3.223747477380775,1.0084673665436312,0.47000557229712514,0.2575675329599598,0.11671192341985466
1151,189,7.5837879687115874,3.2993830853279222,1.0130746562369122,0.4702862538578021,0.25758463434614953,0.11671218066624653
1277,205,7.901270823627339,3.3761399184816874,1.0175616182840812,0.4705485811441746,0.25759997310548877,0.11671239759381088
1409,222,8.229921683543559,3.4541317195746006,1.0219542688361858,0.47079602107477947,0.2576139135902676,0.11671258406458697
1559,245,8.661292151565386,3.5542753314150666,1.0273520022667526,0.4710869963860716,0.25762960121535505,0.11671278049740591
1721,267,9.063062786812766,3.6457388577881122,1.0320925526780274,0.4713327300019969,0.2576423407975497,0.11671293091322178
1901,290,9.471661127877635,3.7368636832898776,1.0366253387755637,0.47155823603601843,0.2576535613842311,0.11671305548582782
2111,317,9.938229093301546,3.8387638334984606,1.041486490064666,0.47179016920524763,0.2576646287965078,0.1167131708796785
2333,344,10.392907400075059,3.936123885574996,1.0459510541689487,0.47199492566124274,0.2576740207626677,0.11671326316832636
2579,375,10.90235877977692,4.043167720871139,1.050677404406317,0.47220363978606544,0.2576832388170758,0.1167133487508716
2851,413,11.510036582803794,4.168142325997708,1.0559637600456366,0.4724272756018512,0.2576927006805965,0.11671343111231597
3163,446,12.02491716917658,4.271977529828552,1.0601871674074856,0.47259908127453465,0.2576996905355801,0.11671348848687133
3491,487,12.648593677697056,4.395208946168122,1.0649987549311086,0.47278697507252043,0.25770702880369983,0.11671354513977873
3851,533,13.331696944323486,4.527559754355456,1.0699675266746196,0.4729735388782403,0.2577140346650695,0.11671359613355284
4259,583,14.056107194572943,4.665084090155472,1.0749244926902528,0.47315223463602724,0.25772047746186527,0.11671364025306312
4721,635,14.79133966109159,4.80184585581885,1.0796569907501328,0.47331602079182217,0.25772614670398886,0.1167136767714316
5209,692,15.578424649113254,4.945351213558167,1.084427903436459,0.4734746520232776,0.2577314217934852,0.11671370876720971
5779,757,16.454875861623684,5.101928748280647,1.0894256634819453,0.4736341951497992,0.2577365155428262,0.11671373783307543
6373,830,17.4164075431904,5.270255738172774,1.0945848558493905,0.47379234663394226,0.2577413642780202,0.1167137638694606
7057,906,18.394364517173226,5.437991781610322,1.0995198041461778,0.47393755650086894,0.2577456376140829,0.11671378544845651
7817,987,19.413294357057524,5.60927726082348,1.104360573634507,0.47407438086636,0.2577495054475342,0.11671380383618549
8623,1072,20.45960493976696,5.7817794124027,1.1090498287542432,0.4742018686582364,0.25775297192767926,0.11671381938232943
9539,1180,21.759998264639396,5.991923872193348,1.1145383075401964,0.4743452357703376,0.2577567174344735,0.11671383520286632
