log10_Q,log10_lambda_fixed_w1,log10_lambda_fixed_w3,log10_lambda_fixed_w6,log10_lambda_fixed_w10,log10_lambda_constant_share,log10_lambda_frontier_c1
10.535117056856187,18.300524005383107,12.761103788724569,4.451973463736763,-6.6268669695803055,-6169153.842709264,-2.769710108329268
10.729096989966555,18.672636259958793,13.101520820010153,4.744847660087196,-6.397383219810081,-9468521.28291758,-2.785557719974319
10.923076923076923,19.04503248460248,13.44278976149975,5.039425676845653,-6.165059769359814,-14537193.107800238,-2.801121361551366
11.117056856187292,19.41770268140037,13.784880619451942,5.3356475265293,-5.9299965973675555,-22326253.376654107,-2.816411030974214
11.31103678929766,19.790637371321807,14.12776495677478,5.633456334954239,-5.6922884941398095,-34299147.136535674,-2.831436207273513
11.505016722408028,20.16382755892293,14.471415787136673,5.932798129457289,-5.452025414115219,-52708238.14645412,-2.8462058858931276
11.698996655518394,20.537264700001405,14.81580747793064,6.233621644824492,-5.209292799317037,-81020911.74779396,-2.8607286110353827
11.892976588628763,20.910940671911106,15.160915661218267,6.535878145179009,-4.964171876206667,-124576220.06858963,-2.8750125053464193
12.08695652173913,21.28484774627837,15.506717151878583,6.839521260278904,-4.716739928520671,-191597002.8240523,-2.889065297199893
12.280936454849499,21.65897856389052,15.853189872273568,7.144506834848137,-4.46707054838577,-294750218.8393342,-2.902894345808477
12.474916387959867,22.03332611155229,16.200312782817406,7.450792789715081,-4.215233867754691,-453552871.497285,-2.9165066643674424
12.668896321070235,22.407883700727933,16.548065817902852,7.758338993665237,-3.961296771984916,-698082454.4235017,-2.9299089414125388
12.862876254180602,22.782644947806215,16.896429826696234,8.067107145031265,-3.705323097188689,-1074700252.4066112,-2.9431075605549895
13.05685618729097,23.157603755842565,17.245386518363812,8.377060662145684,-3.447373812811815,-1654880955.2320747,-2.9561086187393757
13.250836120401338,23.532754297647553,17.594918411337304,8.688164581871934,-3.1875071907485584,-2548836812.7118707,-2.9689179431551236
13.444816053511706,23.908091000104406,17.945008786266392,9.000385465509368,-2.9257789621666603,-3926543232.9669523,-2.9815411069190074
13.638795986622075,24.28360852960984,18.29564164234122,9.31369131143829,-2.6622424630989485,-6050191891.885005,-2.99398344363431
13.832775919732443,24.659301778543046,18.646801656699367,9.628051473933848,-2.396948769753511,-9324290043.086353,-3.0062500609218397
14.02675585284281,25.0351658526769,18.99847414665947,9.943436587633315,-2.129946824401557,-14373012780.791212,-3.0183458530087175
14.220735785953178,25.41119605945377,19.3506450345486,10.259818497190842,-1.861283552619497,-22159650956.752605,-3.0302755124525853
14.414715719063546,25.78738789705556,19.703300814912502,10.57717019169791,-1.5910039725882115,-34171090165.27462,-3.0420435410715303
14.608695652173914,26.1637370442044,20.05642852391754,10.895465743487254,-1.31915129708646,-52702765899.58534,-3.053654260143429
14.802675585284282,26.540239350636018,20.410015710770928,11.214680250973291,-1.0457670287568952,-81298879757.38167,-3.065111819932546
14.996655518394649,26.91689082819336,20.76405041100148,11.534789785213665,-0.7708910491700856,-125432564085.20357,-3.0764202085959385
15.190635451505017,27.293687642492532,21.118521121457533,11.855771339905033,-0.4945617021649653,-193556922068.67285,-3.0875832605175
15.384615384615385,27.670626105117556,21.473416776891124,12.177602784551478,-0.2168158719013853,-298729380812.8568,-3.0986046641132154
15.578595317725753,28.047702666304115,21.828726728009336,12.500262820567162,0.06231094397759662,-461122399784.32074,-3.109487969147391
15.772575250836121,28.42491390807607,22.18444072088373,12.82373094009522,0.3427845657105415,-711904667279.2839,-3.1202365935961702
15.96655518394649,28.80225653780144,22.540548877618363,13.147987387343747,0.624572066977592,-1099241598692.8643,-3.1308538300915387
16.160535117056856,29.179727382137493,22.897041678185058,13.473013122256404,0.9076417143515343,-1697573461664.2012,-3.141342851976218
16.354515050167223,29.557323381337138,23.25390994334252,13.7987897863506,1.1919629103613723,-2621963108797.567,-3.1517067189973074
16.548494983277592,29.93504158389095,23.611144818562487,14.125299670569785,1.477506139912851,-4050285881498.7446,-3.1619483826642334
16.742474916387962,30.31287914148145,23.968737758892495,14.452525685009068,1.7642429198311653,-6257551850929.512,-3.172070691294476
16.93645484949833,30.690833304227993,24.326680514690665,14.780451330384668,2.052145751310011,-9668999511547.426,-3.1820763947686648
17.130434782608695,31.0689014162025,24.684965118172723,15.109060671128056,2.3411880750685015,-14942236097657.42,-3.191968149014889
17.324414715719065,31.4470809111976,25.04358387071653,15.438338309994933,2.6313442290327984,-23094328645350.348,-3.201748520240533
17.51839464882943,31.82536930873037,25.40252933087338,15.7682693640879,2.9225894083739234,-35698464858637.664,-3.211419988928494
17.712374581939798,32.20376421026624,25.761794303039533,16.09883944219947,3.214899627746057,-55188296808907.11,-3.220984953613354
17.906354515050168,32.58226329564844,26.12137182674465,16.430034623388966,3.508251685581385,-85328976027509.22,-3.230445734451895
18.100334448160535,32.96086431971983,26.481255166517357,16.76184143671364,3.802623130308689,-131946248251751.36,-3.2398045766012378
18.294314381270905,33.339565109124884,26.841437802291026,17.09424684204024,4.097992228372526,-204055093923424.22,-3.2490636534169286
18.48829431438127,33.71836355928019,27.20191342031549,17.427238211868435,4.394337933939028,-315607028159253.5,-3.2582250694823514
18.68227424749164,34.09725763150324,27.562675904543163,17.760803314103043,4.691639860182882,-488195421304200.1,-3.26729086348004
18.876254180602007,34.476245350289325,27.923719328459953,18.094930295715887,4.989878252057132,-755244482745823.6,-3.276263010914688
19.070234113712374,34.8553248007278,28.285037947333898,18.42960766724305,5.2890339604552565,-1168496151994116.0,-3.2851434266969495
19.264214046822744,35.23449412604899,28.64662619085601,18.76482428806654,5.589088417680571,-1808056298395182.5,-3.2939339675964914
19.45819397993311,35.61375152529407,29.008478656149776,19.100569352433332,5.890023614144738,-2797954506819127.0,-3.302636434572148
19.65217391304348,35.993095251100456,29.370590101127444,19.436832376167928,6.191822076221911,-4330245427023984.5,-3.311252574986505
19.846153846153847,36.37252360759598,29.732955438172553,19.773603184037416,6.494466845190566,-6702343623444523.0,-3.319784084711713
20.040133779264217,36.75203494839555,30.09556972812977,20.11087189773111,6.797941457199556,-1.0374862756609486e+16,-3.3282326101328876
20.234113712374583,37.13162767469416,30.45842817458415,20.448628924419136,7.102229924199115,-1.6061227122808528e+16,-3.336599750055005
20.42809364548495,37.51130023345107,30.821526118413395,20.78686494585689,7.407316715781555,-2.4866519523759772e+16,-3.3448870575188345
20.62207357859532,37.89105111565959,31.1848590325975,21.125570908004363,7.713186741880179,-3.8502634266571256e+16,-3.353096041531046
20.816053511705686,38.27087885469804,31.548422517271376,21.464738011131377,8.019825336278046,-5.9621694312342664e+16,-3.3612281687133323
21.010033444816056,38.65078202475707,31.912212295006995,21.80435770038188,8.32721824088172,-9.233277720482987e+16,-3.369284864875039
21.204013377926422,39.03075923933931,32.27622420631225,22.144421656771648,8.63535159071752,-1.430027884093582e+17,-3.3772675165135326
21.39799331103679,39.41080914982734,32.64045420533485,22.484921788596118,8.94421189961114,-2.2149782248683514e+17,-3.3851774722462435
21.59197324414716,39.79093044411622,33.004898355760034,22.825850223225746,9.253786046513362,-3.431074184830178e+17,-3.393016044178095
21.785953177257525,40.171121845307276,33.36955282689172,23.167199299268397,9.564061262437292,-5.315275856768076e+17,-3.4007845092077758
